,date,open
552,2015-04-21,48.35
553,2015-04-22,48.5
554,2015-04-23,48.55
555,2015-04-24,51.32
556,2015-04-27,51.81
557,2015-04-28,50.6
558,2015-04-29,50.42
559,2015-04-30,50.63
560,2015-05-01,49.95
561,2015-05-04,50.3
562,2015-05-05,49.94
563,2015-05-06,49.68
564,2015-05-07,48.74
565,2015-05-08,49.99
566,2015-05-11,49.71
567,2015-05-12,49.15
568,2015-05-13,49.85
569,2015-05-14,49.98
570,2015-05-15,50.79
571,2015-05-18,50.65
572,2015-05-19,51.48
573,2015-05-20,51.31
574,2015-05-21,50.94
575,2015-05-22,51.33
576,2015-05-26,51.38
577,2015-05-27,51.04
578,2015-05-28,51.84
579,2015-05-29,51.95
580,2015-06-01,51.96
581,2015-06-02,51.98
582,2015-06-03,52.0
583,2015-06-04,51.87
584,2015-06-05,51.57
585,2015-06-08,52.0
586,2015-06-09,51.35
587,2015-06-10,51.8
588,2015-06-11,52.81
589,2015-06-12,52.41
590,2015-06-15,52.23
591,2015-06-16,52.27
592,2015-06-17,53.09
593,2015-06-18,53.5
594,2015-06-19,54.08
595,2015-06-22,54.325
596,2015-06-23,54.04
597,2015-06-24,53.75
598,2015-06-25,54.09
599,2015-06-26,54.46
600,2015-06-29,53.87
601,2015-06-30,54.15
602,2015-07-01,53.86
603,2015-07-02,54.03
604,2015-07-06,53.64
605,2015-07-07,54.29
606,2015-07-08,53.86
607,2015-07-09,54.07
608,2015-07-10,54.54
609,2015-07-13,55.0
610,2015-07-14,55.96
611,2015-07-15,55.92
612,2015-07-16,56.06
613,2015-07-17,55.9
614,2015-07-20,55.73
615,2015-07-21,56.38
616,2015-07-22,56.43
617,2015-07-23,56.98
618,2015-07-24,59.12
619,2015-07-27,57.21
620,2015-07-28,57.39
621,2015-07-29,57.38
622,2015-07-30,57.3
623,2015-07-31,58.44
624,2015-08-03,58.62
625,2015-08-04,58.25
626,2015-08-05,59.15
627,2015-08-06,59.13
628,2015-08-07,57.33
629,2015-08-10,57.29
630,2015-08-11,55.79
631,2015-08-12,55.69
632,2015-08-13,56.52
633,2015-08-14,56.95
634,2015-08-17,57.0
635,2015-08-18,57.96
636,2015-08-19,57.58
637,2015-08-20,57.0
638,2015-08-21,54.72
639,2015-08-24,48.05
640,2015-08-25,52.96
641,2015-08-26,52.99
642,2015-08-27,54.74
643,2015-08-28,55.84
644,2015-08-31,55.23
645,2015-09-01,52.82
646,2015-09-02,54.47
647,2015-09-03,55.72
648,2015-09-04,53.87
649,2015-09-08,55.31
650,2015-09-09,55.9
651,2015-09-10,54.34
652,2015-09-11,55.19
653,2015-09-14,56.54
654,2015-09-15,56.43
655,2015-09-16,56.83
656,2015-09-17,57.32
657,2015-09-18,56.49
658,2015-09-21,57.2
659,2015-09-22,56.85
660,2015-09-23,57.16
661,2015-09-24,57.38
662,2015-09-25,58.92
663,2015-09-28,58.01
664,2015-09-29,55.85
665,2015-09-30,56.4
666,2015-10-01,56.99
667,2015-10-02,56.99
668,2015-10-05,58.49
669,2015-10-06,58.82
670,2015-10-07,58.62
671,2015-10-08,58.78
672,2015-10-09,59.47
673,2015-10-12,60.35
674,2015-10-13,60.34
675,2015-10-14,60.0
676,2015-10-15,58.95
677,2015-10-16,59.96
678,2015-10-19,60.13
679,2015-10-20,61.22
680,2015-10-21,61.07
681,2015-10-22,60.96
682,2015-10-23,62.11
683,2015-10-26,62.98
684,2015-10-27,63.37
685,2015-10-28,63.11
686,2015-10-29,63.42
687,2015-10-30,63.69
688,2015-11-02,63.01
689,2015-11-03,62.0
690,2015-11-04,63.0355
691,2015-11-05,62.17
692,2015-11-06,62.05
693,2015-11-09,61.75
694,2015-11-10,61.54
695,2015-11-11,62.55
696,2015-11-12,61.34
697,2015-11-13,60.89
698,2015-11-16,59.5
699,2015-11-17,60.95
700,2015-11-18,60.66
701,2015-11-19,61.8
702,2015-11-20,61.96
703,2015-11-23,62.14
704,2015-11-24,62.06
